prix,type_de_bien,details,zone
205500,Appartement à vendre - neuf,"3 pièces · 2 chambres · 58,9 m² · 1er étage",La Pagère-Bron Église-Le Terraillon-Saint Jean  Bron (69500)
430000,Appartement à vendre,"3 pièces · 2 chambres · 82,2 m² · Étage 3/4",Croix Rousse Centre  Lyon 4ème arrondissement (69004)
779000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 93,2 m² · 11ème étage",Part-Dieu  Lyon 3ème arrondissement (69003)
299000,Appartement à vendre - neuf,2 pièces · 53 m² · RDC · dès le 31/12/2026,Craponne (69290)
303000,Appartement à vendre - neuf,"3 pièces · 63,4 m² · 1er étage",Azieu  Genas (69740)
295043,Appartement à vendre - neuf,"1 pièce · 30,9 m² · 4ème étage · dès le 30/06/2027",Croix Rousse Gros Caillou  Lyon 4ème arrondissement (69004)
1799000,Terrain avec maison neuve à vendre,6 pièces · 5 chambres · 190 m² · 1 700 m² de terrain,Est  Saint-Cyr-au-Mont-d'Or (69450)
242000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 77,4 m² · dès le 31/12/2026",Peripherie  Saint-Genest-Lerpt (42530)
143920,Appartement à vendre - neuf,"1 pièce · 17,2 m² · 7ème étage · dès le 30/09/2027",Croix Luizet  Villeurbanne (69100)
375000,Appartement à vendre - neuf,"3 pièces · 64,5 m² · 1er étage · dès le 01/06/2028",Girondins  Lyon 7ème arrondissement (69007)
269000,Appartement à vendre - neuf,2 pièces · 40 m²,Francheville le Bas-Châter  Francheville (69340)
296000,Appartement à vendre - neuf,3 pièces · 61 m²,Centre Ville  Saint-Priest (69800)
279000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 62,1 m² · dès le 30/06/2026",Le Bourg  Fontaines-sur-Saône (69270)
285000,Appartement à vendre - neuf,3 pièces · 2 chambres · 57 m²,Bron Centre-Le Rafour  Bron (69500)
306000,Appartement à vendre - neuf,3 pièces · 2 chambres · 63 m²,Le Bachut  Lyon 8ème arrondissement (69008)
1199900,Appartement à vendre - neuf,5 pièces · 4 chambres · 159 m² · dès le 30/09/2027,Est  Saint-Cyr-au-Mont-d'Or (69450)
224000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 60,9 m² · 1er étage",Le Village  Vaulx-en-Velin (69210)
364000,Appartement à vendre - neuf,"3 pièces · 65,8 m² · RDC/8",Girondins  Lyon 7ème arrondissement (69007)
289500,Appartement à vendre - neuf,3 pièces · 63 m² · RDC · dès le 30/06/2028,La-Soie  Décines-Charpieu (69150)
224500,Appartement à vendre - neuf,2 pièces · 42 m² · RDC · dès le 30/06/2028,La-Soie  Décines-Charpieu (69150)
699000,Maison à vendre,5 pièces · 4 chambres · 134 m²,Thoiry (01710)
289000,Appartement à vendre - neuf,"3 pièces · 62,2 m² · 1er étage · dès le 30/09/2026",Toussieu (69780)
440000,Maison de plain-pied à vendre,5 pièces · 4 chambres · 144 m² · 3 220 m² de terrain,Val d'Oingt (69620)
440000,Maison de plain-pied à vendre,5 pièces · 4 chambres · 144 m² · 3 220 m² de terrain,Charnay (69380)
135000,Appartement à vendre - neuf,"1 pièce · 32,5 m² · RDC · dès le 15/03/2028",La Pagère-Bron Église-Le Terraillon-Saint Jean  Bron (69500)
994000,Appartement à vendre - neuf,"5 pièces · 145,9 m² · 1er étage · dès le 31/12/2026",Montchat  Lyon 3ème arrondissement (69003)
359716,Maison à vendre - neuf,4 pièces · 78 m² · dès le 31/03/2028,Cornavent  Décines-Charpieu (69150)
3150000,Maison à vendre,14 pièces · 9 chambres · 380 m² · 8 060 m² de terrain,Ouest  Saint-Cyr-au-Mont-d'Or (69450)
269000,Appartement à vendre,"2 pièces · 1 chambre · 49,2 m² · RDC/4",Fourvière-Saint Just  Lyon 5ème arrondissement (69005)
230000,Appartement en viager - neuf,"3 pièces · 2 chambres · 67,7 m² · dès le 31/12/2027",Chaponost (69630)
172000,Appartement à vendre - neuf,"1 pièce · 29,9 m² · 1er étage · dès le 01/07/2028",Revaison  Saint-Priest (69800)
256000,Appartement à vendre - neuf,"4 pièces · 86,2 m² · RDC",Sainte-Foy-l'Argentière (69610)
229900,Appartement à vendre - neuf,2 pièces · 45 m² · 1er étage · dès le 01/07/2028,Revaison  Saint-Priest (69800)
534900,Duplex à vendre,"4 pièces · 3 chambres · 152,1 m² · Étage 5/5",La Villette  Lyon 3ème arrondissement (69003)
443689,Terrain avec maison neuve à vendre,5 pièces · 4 chambres · 140 m² · 517 m² de terrain,Givry (71640)
229865,Appartement à vendre - neuf,1 pièce · 25 m² · dès le 01/10/2027,Lyon 7ème arrondissement (69007)
354428,Appartement à vendre - neuf,2 pièces · 42 m² · dès le 01/10/2027,Lyon 7ème arrondissement (69007)
